TagName,TagValue,TagQuality
ER_LINES.LINE.MLD-DKL1.MW,#N/A,0
ER_LINES.LINE.MLD-DKL2.MW,#N/A,0
ER_LINES.LINE.BRP-CKA1.MW,#N/A,0
ER_LINES.LINE.BRP-CKA2.MW,#N/A,0
ER_LINES.LINE.SGN-BRP.MW,#N/A,0
ER_LINES.LINE.ARH-SAS1.MW,#N/A,0
ER_LINES.LINE.ARH-SAS2.MW,#N/A,0
ER_STN.STN.VOLTAGE.IVT,#N/A,0
ER_STN.STN.VOLTAGE.MRM,#N/A,0
ER_STN.STN.VOLTAGE.KLG,#N/A,0
ER_STN.STN.VOLTAGE.JRT,#N/A,0
ER_STN.STN.VOLTAGE.BKW,#N/A,0
ER_STN.STN.VOLTAGE.ARB,403.622559,1
ER_STN.STN.VOLTAGE.TSP,#N/A,0
ER_STN.STN.VOLTAGE.KHG,#N/A,0
ER_STN.STN.VOLTAGE.FKK,#N/A,0
ER_STN.STN.VOLTAGE.IVP,#N/A,0
ER_STN.STN.VOLTAGE.PRP,#N/A,0
ER_STN.STN.VOLTAGE.MTN,#N/A,0
ER_STN.STN.VOLTAGE.BSG,#N/A,0
ER_STN.STN.VOLTAGE.MLD,#N/A,0
ER_STN.STN.VOLTAGE.PUR,#N/A,0
ER_STN.STN.VOLTAGE.JSR,#N/A,0
ER_STN.STN.VOLTAGE.RKL,#N/A,0
ER_STN.STN.VOLTAGE.RGP,#N/A,0
ER_STN.STN.VOLTAGE.JPE,#N/A,0
ER_STN.STN.VOLTAGE.BNG,#N/A,0
ER_STN.STN.VOLTAGE.BRD,#N/A,0
ER_STN.STN.VOLTAGE.SAS,#N/A,0
ER_ICTS.STN.MW.FKK,#N/A,0
ER_ICTS.STN.MW.DGP1,#N/A,0
ER_ICTS.STN.MW.DGP2,#N/A,0
ER_ICTS.STN.MW.BSG1,#N/A,0
ER_ICTS.STN.MW.BSG2,#N/A,0
ER_ICTS.STN.MW.BSG3,#N/A,0
ER_ICTS.STN.MW.MTN1,#N/A,0
